libindicator-gtk2 12.10.1-4
libindicator-gtk3 12.10.1-4
libinput 1.1.4-1
libirman 0.4.6-1
libiscsi 1.13.0-1
libisofs 1.4.2-1
libjpeg-turbo 1.4.2-2
libkate 0.4.1-5
libkeybinder2 0.3.0-2
libkolabxml 1.1.2-3
libksba 1.3.3-1
liblangtag 0.5.8-2
libldap 2.4.43-1
liblouis 2.6.5-1
liblqr 0.4.2-1
liblrdf 0.5.0-2
libmad 0.15.1b-7
libmariadbclient 10.1.10-1
libmatroska 1.4.4-1
libmbim 1.12.2-2
libmcrypt 2.5.8-4
libmediaart 1.9.0-1
libmm-glib 1.4.12-1
libmm-qt 1.0.1-3
libmms 0.6.4-1
libmng 2.0.3-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-1
libmpcdec 1.2.6-4
libmpd 11.8.17-2
libmpeg2 0.5.1-5
libmspub 0.1.2-4
libmtp 1.1.10-1
libmusicbrainz3 3.0.3-4
libmusicbrainz5 5.1.0-2
libmwaw 0.3.6-2
libndp 1.5-1
libnewt 0.52.18-3
libnice 0.1.13-1
libnl 3.2.26-1
libnm-glib 1.0.10-2
libnm-qt4 0.9.8.4-2
libnotify 0.7.6-2
libnova 0.15.0-1
liboauth 1.0.3-1
libodfgen 0.1.6-1
libofa 0.9.3-6
libogg 1.3.2-1
liboil 0.3.17-3
libomxil-bellagio 0.9.3-1
libotf 0.9.13-2
libotr 4.1.0-1
libpagemaker 0.0.2-2
libpaper 1.1.24-9
libpcap 1.7.4-1
libpciaccess 0.13.4-1
libpeas 1.16.0-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.20-1
libpng12 1.2.56-1
libproxy 0.4.11-8
libpulse 7.1-3
libpurple 2.10.12-1
libpwquality 1.3.0-1
libqalculate 0.9.7-5
libqmi 1.12.6-1
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libqzeitgeist 0.8.0-6
libraw 0.17.1-1
libraw1394 2.1.1-1
libreoffice-fresh 5.0.4-3
libreoffice-fresh-zh-CN 5.0.4-1
librevenge 0.0.4-1
librsvg 2:2.40.11-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.2.3-1
libsecret 0.18.3-1
libshout 1:2.3.1-2
libsidplay 1.36.59-7
libsigc++ 2.6.2-1
libsignon-qt4 8.58-2
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.25-3
libsodium 1.0.8-1
libsoup 2.52.2-1
libsoxr 0.1.2-1
libspectre 0.2.7-2
libspiro 1:0.5.20150702-1
libsrtp 15.1c9bd90-3
libssh 0.7.2-1
libssh2 1.6.0-1
libsystemd 228-3
libtar 1.2.20-2
libtasn1 4.7-1
libteam 1.23-1
libthai 0.1.22-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-4
libtorrent-rasterbar 1:1.0.7-4
libtracker-sparql 1.6.1-1
libtxc_dxtn 1.0.1-6
libunique 1.1.6-6
libunistring 0.9.6-1
libunwind 1.1-3
libupnp 1.6.19-1
libusb 1.0.20-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.27.1-1
libuv 1.8.0-1
libva 1.6.2-1
libva-intel-driver 1.6.2-1
libva-vdpau-driver 0.7.4-2
libvdpau 1.1.1-2
libvisio 0.1.5-1
libvisual 0.4.0-6
libvncserver 0.9.10-3
libvorbis 1.3.5-1
libvpx 1.5.0-3
libwacom 0.17-1
libwbclient 4.3.4-1
libwebp 0.5.0-1
libwmf 0.2.8.4-12
libwnck 2.31.0-1
libwnck3 3.14.0-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.2-2
libx11 1.6.3-1
libx264 2:148.20150725-1
libx32-flex 2.6.0-1.1
libx32-glibc 2.22-3.1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.11.1-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-1
libxfce4util 4.12.1-1
libxfixes 5.0.1-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.5.0-1
libxkbcommon-x11 0.5.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.3-1
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-4
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
libzeitgeist 0.3.18-4
libzip 1.0.1-1
libzrtpcpp 4.3.1-1
licenses 20140629-1
link-grammar 5.2.1-2
linux-api-headers 4.1.4-1
linux-ck-ivybridge 4.3.3-2
linux-ck-ivybridge-headers 4.3.3-2
linux-firmware 20151207.bbe4917-1
linux-headers 4.3.3-2
lirc 1:0.9.3.a-1
llvm 3.7.1-1
llvm-libs 3.7.1-1
lm_sensors 3.4.0-1
lmdb 0.9.17-1
logrotate 3.9.1-1
lpsolve 5.5.2.0-3
lrzsz 0.12.20-5
lsb-release 1.4-14
lsof 4.89-1
lua 5.3.2-1
lua-expat 1.3.0-3
lua-socket 20151008-1
lua51 5.1.5-4
lua52 5.2.4-1
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.0-1
lua52-luajson 1.3.3-2
lua52-socket 20151008-1
luajit 2.0.4-1
lvm2 2.02.138-1
lwqq 0.6.1-1
lz4 131-1
lzo 2.09-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.17-1
make 4.1-1
man-db 2.7.5-1
man-pages 4.04-1
mariadb 10.1.10-1
mariadb-clients 10.1.10-1
mbedtls 2.2.0-1
mc 4.8.15-1
mcpp 2.7.2-5
mdadm 3.3.4-1
mdk3 v6-6
media-player-info 22-1
mediastreamer 2.12.1-1
menulibre 2.1.2-1
mercurial 3.5.1-1
mesa 11.1.1-1
mesa-libgl 11.1.1-1
mime-types 9-1
mjpegtools 2.1.0-2
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
mlocate 0.26-5
mobile-broadband-provider-info 20151214-1
modemmanager 1.4.12-1
mongodb 3.2.0-4
mono 4.2.2.10-1
mousepad 0.4.0-1
mozilla-common 1.4-4
mpfr 3.1.3.p5-1
mpg123 1.22.4-1
mpv 1:0.14.0-1
mtdev 1.1.5-1
mtools 4.0.18-2
musicbrainz 2.1.5-7
nano 2.5.1-1
ncurses 6.0-4
neon 0.30.1-1
net-snmp 5.7.3-2
net-tools 1.60.20130531git-1
netctl 1.11-1
nettle 3.1.1-1
network-manager-applet 1.0.10-1
networkmanager 1.0.10-2
networkmanager-pptp 1.0.8-1
nm-connection-editor 1.0.10-1
nmap 7.01-1
nodejs 5.4.1-1
npm 3.5.3-1
npth 1.2-1
nspr 4.11-1
nss 3.21-1
ntfs-3g 2015.3.14-1
numix-circle-icon-theme-git 0.r2902.295feb9-1
numix-icon-theme-git 0.r1667.b0939c3-1
numix-themes 2.5.1-1
nvidia-ck-ivybridge 358.16-1
nvidia-utils 358.16-1
ocaml 4.02.3-2
ocl-icd 2.2.8-1
openal 1.17.1-1
openbabel 2.3.2-5
opencc 1.0.3-2
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openresolv 3.7.2-1
openslp 2.0.0-1
